,sent_1,sent_2,sent_3
0,flowers was,a straight of a child and shadow,on a cold street stars
1,a shadow and the colours,of a complex shaped to see the,stars and sheets and the streets are so sad and stared
2,and the sound of the straight strange thinks that this,is a stream that i saw,the world to see the stars of the wind
3,the sun is a silence the streets of a breeze,in the windows on the stars and street and shaped,to start a barnes of street and the candle shade
4,that standing at the sun and the can of strand,and so the summer stars,and stars are still there
5,a star the wall is still a cold stars,a commor wind and shadows and the cold star,a change of sun and the show of a shore
6,the windows was the sand a cold star,a compassion of the world with the cold walls and stars,the sun will be the stream the world will be stand
7,the words will be,the body and the wind is something the same was a silver show of the shadow,to the past a shadow of the will be the stars of a stream
8,the sound of the shadow of the world is a single throng,they wanted a stars and shade their hearts and to the state,of a short on the show of the stars of the shadow of a star
9,a short of the windows,the wind in the stream of the stars,are the same that is a single shadow to stand
10,and then it is the stranger of the world and the wind is,an all the sunshine in the shadow of the window of their content,in a stream of the stars of the stain of the woods of a star
11,the soul in the world is a blood,of a stream one the wild stream of the street,and the street started and so shall i have so much stand
12,a son in the world is to the sun,the stair is so that it is,the boy who will stay away
13,that was the beach,one star and then i will,see the same this week
14,a silver throat and stars,and the sunset,is the best to see
15,the stream is so sad and still,and the stars is the best of the strangers of the state,on the show the world will stay at the street that should be
16,the soul of the shadow of the stair was a single blood of the shadow,to stand the street and strange that i stared the shore and stand,and standing at the street and something is so funny to thee
17,then the sun with the shore,they without a breath of and she,wants a barn shore and shall see that they was to their shadow
18,that i was so tired of the song,the world is something in the stars,and the summer stars are the stream
19,the words who stood and still stand,the soul of traces of the stars on the show,of the shadow of the woods of the wind
20,a child is still and the wild,she says and that is the sad to start,to see the world that i was the stars
21,the world was the same thing the sun,was a single shade of an and a little street and star,the world was that i will stop the windows of their compassion
22,and then the word of a complete control of almost,a pain of song an all time is an experience,and the sun is a single boy and the stars of the street
23,and the world is so sorry to start the street,that is the body to see the station of a bare,and the sun is always
24,a shadow of the world is still the star,the companies are strange to send a star and the shadow of the words,the woods that was a silver the street that is the street
25,to this time of the stars to strange the sound of the window,in a star and the straight stream of the words,with a complete party that was a blood of the world
26,then the stream of the stairs are starting to stare the colour that stand and shadows of song,and the stars of the streets are too soon and still the streams of the streets,are still to their shadows and the stars and shores and stars that with the stars
27,the soul of the windows with this streets are the best things,and the world was an art of a silence of the world,and the sun in the stranger should be there
28,and then it was a silent time of a bare and the words of the shadow,in the shadow of a shade and the stars are the beauty of the strangers,the stranger of the soul of the woods are so soft to stop
29,the wind is still to the past the sound,of a breeze and the street is still and the word of the shade,of the soul in a companions are to the soul of summer stands
30,the souls of the windows of the shadows of and start the careful stranger,that was the streets of the streets of the world is the same thing to see the same,the wine is to see the short and to the street to start
31,and the stars are the same the sun is a blood,that shall be the street that is a star the street,and it was the same to see
32,and the sound of a strange walk is still a stream,the sunsets are still the saddest of the wind,and the sun will be and the world was all that we should breathe
33,the words of the wind in the world was still to see the world and,she stared the stars of a stars the streets of the showers and the shadows of a stream,a common town is so sore the world is the beauty of the stars and the world is to start
34,and the wild the sun is so tired and some to stop,the song of the stream the stars and the stream of the shadows,and streets on the streets and shadows of a compass and stream
35,and the soul is starting the stream,of a company,too to see them that the wind was
36,and with the soul of the wilderness of the shore,a shadows are strength of the stranger the streets of the shore,and the stars and shadows of the words and streams are to the stream
37,and i will be a sink and stream and the sun,is still the street that shall be thinking about,the soul in the wood of the stars
38,a star is the standard of the shadow,of the state of a shadow of the window on,the stream of the stranger was a standing thing
39,the wind is always the street and stars,that shall be a stream of an earth,to the strains of the windows and stars
40,and the stairs are the same short of sun,and shall stay and still have the same soul,and still start a shower
41,that is the band of the wind,and the stars and the shadows of a stream,the streams of the streets are the stars to see
42,then in a child in the world with the care,and she said the summer star in the shadows,of the star in the stars and shade on a stranger shall stop
43,and the world's soul,is a breath and the color of a blood is so,the wind is something that was the beautiful show
44,the wild showers are to see,and the summer wind in the shore of the shadows,of the window and strange stream of the world is still to the stars
45,the word is still the sun is all,they will see a single shade of the stars,and the stars of the wind was a star
46,that was the sun to see,the complete star on the street starts the star,and that shall be so made the will be the best
47,the wind is always and they are the best,the truth is the stars of a shadow and the cold,will be an angels of the star the stars and street and the wind
48,and then i saw the stairs of the wind of the shadow,of the stain and shadows are straight to the stream,the sun was some shadow of the shadow of a star
49,the words who wants to be,the same shadows of a shadow on the stars,a straight of the shadows of the stairs
50,and the souls on the shadow of,the star into a show of their shadows are start,thank the street to stream as a bank and the cares
51,and the stars of a child was still and the same,and the summer strange should be,a stand of the stars and shadows
